id,season,gameType,gameDate,startTimeUTC,gameState,awayTeam.abbrev,awayTeam.score,homeTeam.abbrev,homeTeam.score,gameOutcome.lastPeriodType
2024020001,20242025,2,2024-10-04,2024-10-04T17:00:00Z,OFF,NJD,4,BUF,1,REG
2024020002,20242025,2,2024-10-05,2024-10-05T14:00:00Z,OFF,BUF,1,NJD,3,REG
2024020003,20242025,2,2024-10-08,2024-10-08T20:30:00Z,OFF,STL,3,SEA,2,REG
2024020004,20242025,2,2024-10-08,2024-10-08T23:00:00Z,OFF,BOS,4,FLA,6,REG
2024020005,20242025,2,2024-10-08,2024-10-09T02:00:00Z,OFF,CHI,2,UTA,5,REG
2024020006,20242025,2,2024-10-09,2024-10-09T23:00:00Z,OFF,TOR,0,MTL,1,REG
2024020007,20242025,2,2024-10-09,2024-10-09T23:30:00Z,OFF,NYR,6,PIT,0,REG
2024020008,20242025,2,2024-10-09,2024-10-10T02:00:00Z,OFF,WPG,6,EDM,0,REG
2024020009,20242025,2,2024-10-09,2024-10-10T02:00:00Z,OFF,CGY,6,VAN,5,OT
2024020010,20242025,2,2024-10-09,2024-10-10T02:00:00Z,OFF,COL,4,VGK,8,REG
2024020011,20242025,2,2024-10-10,2024-10-10T23:00:00Z,OFF,MTL,4,BOS,6,REG
2024020012,20242025,2,2024-10-10,2024-10-10T23:00:00Z,OFF,LAK,3,BUF,1,REG
2024020013,20242025,2,2024-10-10,2024-10-10T23:00:00Z,OFF,FLA,1,OTT,3,REG
2024020014,20242025,2,2024-10-10,2024-10-11T00:00:00Z,OFF,PIT,6,DET,3,REG
2024020015,20242025,2,2024-10-10,2024-10-10T23:00:00Z,OFF,TOR,4,NJD,2,REG
2024020016,20242025,2,2024-10-10,2024-10-10T23:30:00Z,OFF,UTA,5,NYI,4,OT
2024020017,20242025,2,2024-10-10,2024-10-11T00:00:00Z,OFF,DAL,4,NSH,3,REG
2024020018,20242025,2,2024-10-10,2024-10-11T00:00:00Z,OFF,CBJ,2,MIN,3,REG
2024020019,20242025,2,2024-10-10,2024-10-11T02:30:00Z,OFF,STL,5,SJS,4,OT
2024020020,20242025,2,2024-10-11,2024-10-11T23:00:00Z,OFF,TBL,4,CAR,1,REG
2024020021,20242025,2,2024-10-11,2024-10-12T00:00:00Z,OFF,CHI,1,WPG,2,OT
