id,season,gameType,gameDate,startTimeUTC,gameState,awayTeam.abbrev,awayTeam.score,homeTeam.abbrev,homeTeam.score,gameOutcome.lastPeriodType
2022020001,20222023,2,2022-10-07,2022-10-07T18:00:00Z,OFF,SJS,1,NSH,4,REG
2022020002,20222023,2,2022-10-08,2022-10-08T18:00:00Z,OFF,NSH,3,SJS,2,REG
2022020003,20222023,2,2022-10-11,2022-10-11T23:30:00Z,OFF,TBL,1,NYR,3,REG
2022020004,20222023,2,2022-10-11,2022-10-12T02:00:00Z,OFF,VGK,4,LAK,3,REG
2022020005,20222023,2,2022-10-12,2022-10-12T23:00:00Z,OFF,BOS,5,WSH,2,REG
2022020006,20222023,2,2022-10-12,2022-10-12T23:00:00Z,OFF,CBJ,1,CAR,4,REG
2022020007,20222023,2,2022-10-12,2022-10-12T23:00:00Z,OFF,TOR,3,MTL,4,REG
2022020008,20222023,2,2022-10-12,2022-10-13T01:30:00Z,OFF,CHI,2,COL,5,REG
2022020009,20222023,2,2022-10-12,2022-10-13T02:00:00Z,OFF,SEA,4,ANA,5,OT
2022020010,20222023,2,2022-10-12,2022-10-13T02:00:00Z,OFF,VAN,3,EDM,5,REG
2022020011,20222023,2,2022-10-13,2022-10-13T23:00:00Z,OFF,ARI,2,PIT,6,REG
2022020012,20222023,2,2022-10-13,2022-10-13T23:00:00Z,OFF,NJD,2,PHI,5,REG
2022020013,20222023,2,2022-10-13,2022-10-13T23:00:00Z,OFF,OTT,1,BUF,4,REG
2022020014,20222023,2,2022-10-13,2022-10-13T23:30:00Z,OFF,FLA,3,NYI,1,REG
2022020015,20222023,2,2022-10-13,2022-10-13T23:30:00Z,OFF,WSH,2,TOR,3,REG
2022020016,20222023,2,2022-10-13,2022-10-14T00:30:00Z,OFF,DAL,4,NSH,1,REG
2022020017,20222023,2,2022-10-13,2022-10-14T00:00:00Z,OFF,NYR,7,MIN,3,REG
2022020018,20222023,2,2022-10-13,2022-10-14T01:30:00Z,OFF,COL,3,CGY,5,REG
2022020019,20222023,2,2022-10-13,2022-10-14T02:00:00Z,OFF,CHI,0,VGK,1,REG
2022020020,20222023,2,2022-10-13,2022-10-14T02:30:00Z,OFF,SEA,4,LAK,1,REG
2022020021,20222023,2,2022-10-14,2022-10-14T23:00:00Z,OFF,TBL,5,CBJ,2,REG
2022020022,20222023,2,2022-10-14,2022-10-14T23:00:00Z,OFF,MTL,0,DET,3,REG
2022020023,20222023,2,2022-10-14,2022-10-15T00:00:00Z,OFF,NYR,1,WPG,4,REG
2022020024,20222023,2,2022-10-14,2022-10-15T02:30:00Z,OFF,CAR,2,SJS,1,REG
2022020025,20222023,2,2022-10-15,2022-10-15T17:00:00Z,OFF,FLA,4,BUF,3,REG
2022020026,20222023,2,2022-10-15,2022-10-15T20:00:00Z,OFF,VAN,2,PHI,3,REG
2022020027,20222023,2,2022-10-15,2022-10-15T23:00:00Z,OFF,ARI,3,BOS,6,REG
2022020028,20222023,2,2022-10-15,2022-10-15T23:00:00Z,OFF,DET,5,NJD,2,REG
2022020029,20222023,2,2022-10-15,2022-10-15T23:00:00Z,OFF,MTL,1,WSH,3,REG
2022020030,20222023,2,2022-10-15,2022-10-15T23:00:00Z,OFF,OTT,2,TOR,3,REG
2022020031,20222023,2,2022-10-15,2022-10-15T23:00:00Z,OFF,TBL,2,PIT,6,REG
2022020032,20222023,2,2022-10-15,2022-10-15T23:30:00Z,OFF,ANA,1,NYI,7,REG
2022020033,20222023,2,2022-10-15,2022-10-16T00:00:00Z,OFF,CBJ,2,STL,5,REG
2022020034,20222023,2,2022-10-15,2022-10-16T00:00:00Z,OFF,LAK,7,MIN,6,REG
2022020035,20222023,2,2022-10-15,2022-10-16T00:00:00Z,OFF,NSH,1,DAL,5,REG
2022020036,20222023,2,2022-10-15,2022-10-16T02:00:00Z,OFF,CGY,4,EDM,3,REG
2022020037,20222023,2,2022-10-15,2022-10-16T02:00:00Z,OFF,VGK,5,SEA,2,REG
2022020038,20222023,2,2022-10-15,2022-10-16T02:00:00Z,OFF,CHI,5,SJS,2,REG
2022020039,20222023,2,2022-10-17,2022-10-17T23:00:00Z,OFF,ANA,4,NYR,6,REG
2022020040,20222023,2,2022-10-17,2022-10-17T23:00:00Z,OFF,ARI,4,TOR,2,REG
2022020041,20222023,2,2022-10-17,2022-10-17T23:00:00Z,OFF,FLA,3,BOS,5,REG
2022020042,20222023,2,2022-10-17,2022-10-17T23:00:00Z,OFF,PIT,2,MTL,3,OT
2022020043,20222023,2,2022-10-17,2022-10-17T23:00:00Z,OFF,VAN,4,WSH,6,REG
2022020044,20222023,2,2022-10-17,2022-10-17T23:00:00Z,OFF,LAK,5,DET,4,OT
2022020045,20222023,2,2022-10-17,2022-10-18T00:00:00Z,OFF,COL,6,MIN,3,REG
2022020046,20222023,2,2022-10-17,2022-10-18T00:30:00Z,OFF,WPG,1,DAL,4,REG
2022020047,20222023,2,2022-10-17,2022-10-18T02:00:00Z,OFF,CAR,5,SEA,1,REG
2022020048,20222023,2,2022-10-18,2022-10-18T23:00:00Z,OFF,ANA,2,NJD,4,REG
2022020049,20222023,2,2022-10-18,2022-10-18T23:00:00Z,OFF,BOS,5,OTT,7,REG
2022020050,20222023,2,2022-10-18,2022-10-18T23:00:00Z,OFF,VAN,3,CBJ,4,OT
2022020051,20222023,2,2022-10-18,2022-10-18T23:30:00Z,OFF,SJS,2,NYI,5,REG
2022020052,20222023,2,2022-10-18,2022-10-19T01:30:00Z,OFF,LAK,4,NSH,3,SO
2022020053,20222023,2,2022-10-18,2022-10-18T23:00:00Z,OFF,PHI,3,TBL,2,REG
2022020054,20222023,2,2022-10-18,2022-10-19T01:00:00Z,OFF,BUF,4,EDM,2,REG
2022020055,20222023,2,2022-10-18,2022-10-19T01:00:00Z,OFF,VGK,2,CGY,3,REG
2022020056,20222023,2,2022-10-19,2022-10-19T23:30:00Z,OFF,PHI,3,FLA,4,REG
2022020057,20222023,2,2022-10-19,2022-10-20T00:00:00Z,OFF,WPG,4,COL,3,OT
2022020058,20222023,2,2022-10-19,2022-10-20T02:00:00Z,OFF,STL,4,SEA,3,OT
2022020059,20222023,2,2022-10-20,2022-10-20T23:00:00Z,OFF,ANA,1,BOS,2,SO
2022020060,20222023,2,2022-10-20,2022-10-20T23:00:00Z,OFF,ARI,2,MTL,6,REG
2022020061,20222023,2,2022-10-20,2022-10-20T23:00:00Z,OFF,DAL,2,TOR,3,OT
2022020062,20222023,2,2022-10-20,2022-10-20T23:00:00Z,OFF,LAK,1,PIT,6,REG
2022020063,20222023,2,2022-10-20,2022-10-20T23:00:00Z,OFF,NSH,3,CBJ,5,REG
2022020064,20222023,2,2022-10-20,2022-10-20T23:00:00Z,OFF,SJS,3,NYR,2,OT
2022020065,20222023,2,2022-10-20,2022-10-20T23:00:00Z,OFF,WSH,2,OTT,5,REG
2022020066,20222023,2,2022-10-20,2022-10-20T23:30:00Z,OFF,NJD,4,NYI,1,REG
2022020067,20222023,2,2022-10-20,2022-10-21T00:00:00Z,OFF,VAN,3,MIN,4,OT
2022020068,20222023,2,2022-10-20,2022-10-21T01:30:00Z,OFF,BUF,6,CGY,3,REG
2022020069,20222023,2,2022-10-20,2022-10-21T01:00:00Z,OFF,CAR,4,EDM,6,REG
2022020070,20222023,2,2022-10-20,2022-10-21T02:00:00Z,OFF,WPG,2,VGK,5,REG
2022020071,20222023,2,2022-10-21,2022-10-21T23:30:00Z,OFF,TBL,3,FLA,2,OT
2022020072,20222023,2,2022-10-21,2022-10-22T00:30:00Z,OFF,DET,3,CHI,4,OT
2022020073,20222023,2,2022-10-21,2022-10-22T01:00:00Z,OFF,SEA,3,COL,2,REG
2022020074,20222023,2,2022-10-22,2022-10-22T17:00:00Z,OFF,MIN,3,BOS,4,OT
2022020075,20222023,2,2022-10-22,2022-10-22T17:00:00Z,OFF,SJS,1,NJD,2,REG
2022020076,20222023,2,2022-10-22,2022-10-22T20:00:00Z,OFF,ARI,2,OTT,6,REG
2022020077,20222023,2,2022-10-22,2022-10-22T20:00:00Z,OFF,STL,2,EDM,0,REG
2022020078,20222023,2,2022-10-22,2022-10-22T23:00:00Z,OFF,DAL,5,MTL,2,REG
2022020079,20222023,2,2022-10-22,2022-10-22T23:00:00Z,OFF,LAK,3,WSH,4,REG
2022020080,20222023,2,2022-10-22,2022-10-22T23:00:00Z,OFF,NYI,3,TBL,5,REG
2022020081,20222023,2,2022-10-22,2022-10-22T23:00:00Z,OFF,PIT,6,CBJ,3,REG
2022020082,20222023,2,2022-10-22,2022-10-22T23:00:00Z,OFF,TOR,4,WPG,1,REG
2022020083,20222023,2,2022-10-22,2022-10-23T00:00:00Z,OFF,PHI,3,NSH,1,REG
2022020084,20222023,2,2022-10-22,2022-10-23T02:00:00Z,OFF,BUF,5,VAN,1,REG
2022020085,20222023,2,2022-10-22,2022-10-23T02:00:00Z,OFF,CAR,2,CGY,3,OT
2022020086,20222023,2,2022-10-22,2022-10-23T02:00:00Z,OFF,COL,3,VGK,2,REG
2022020087,20222023,2,2022-10-23,2022-10-23T18:00:00Z,OFF,SEA,4,CHI,5,REG
2022020088,20222023,2,2022-10-23,2022-10-23T21:00:00Z,OFF,ANA,1,DET,5,REG
2022020089,20222023,2,2022-10-23,2022-10-23T21:00:00Z,OFF,CBJ,5,NYR,1,REG
2022020090,20222023,2,2022-10-23,2022-10-23T21:00:00Z,OFF,NYI,2,FLA,3,REG
2022020091,20222023,2,2022-10-23,2022-10-23T23:00:00Z,OFF,SJS,3,PHI,0,REG
2022020092,20222023,2,2022-10-24,2022-10-24T23:00:00Z,OFF,DAL,2,OTT,4,REG
2022020093,20222023,2,2022-10-24,2022-10-24T23:00:00Z,OFF,WSH,6,NJD,3,REG
2022020094,20222023,2,2022-10-24,2022-10-25T00:00:00Z,OFF,PIT,3,EDM,6,REG
2022020095,20222023,2,2022-10-24,2022-10-25T00:00:00Z,OFF,STL,0,WPG,4,REG
2022020096,20222023,2,2022-10-24,2022-10-25T02:00:00Z,OFF,TOR,1,VGK,3,REG
2022020097,20222023,2,2022-10-24,2022-10-25T02:30:00Z,OFF,CAR,3,VAN,2,REG
2022020098,20222023,2,2022-10-25,2022-10-25T23:00:00Z,OFF,ARI,6,CBJ,3,REG
2022020099,20222023,2,2022-10-25,2022-10-26T00:00:00Z,OFF,COL,3,NYR,2,SO
2022020100,20222023,2,2022-10-25,2022-10-25T23:00:00Z,OFF,DAL,1,BOS,3,REG
2022020101,20222023,2,2022-10-25,2022-10-25T23:00:00Z,OFF,MIN,3,MTL,1,REG
2022020102,20222023,2,2022-10-25,2022-10-25T23:00:00Z,OFF,NJD,6,DET,2,REG
2022020103,20222023,2,2022-10-25,2022-10-26T00:30:00Z,OFF,FLA,2,CHI,4,REG
2022020104,20222023,2,2022-10-25,2022-10-26T01:00:00Z,OFF,PIT,1,CGY,4,REG
2022020105,20222023,2,2022-10-25,2022-10-26T02:00:00Z,OFF,BUF,1,SEA,5,REG
